Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JARDIM ALEGRE;4112504;4112504;93;8
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JARDIM OLINDA;4112603;4112603;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JATAIZINHO;4112702;4112702;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JESUÍTAS;4112751;4112751;133;8
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JOAQUIM TÁVORA;4112801;4112801;212;16
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JUNDIAÍ DO SUL;4112900;4112900;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JURANDA;4112959;4112959;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;JUSSARA;4113007;4113007;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;KALORÉ;4113106;4113106;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LAPA;4113205;4113205;2292;240
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LARANJAL;4113254;4113254;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LARANJEIRAS DO SUL;4113304;4113304;1220;81
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LEÓPOLIS;4113403;4113403;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LOANDA;4113502;4113502;95;8
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LONDRINA;4113700;4113700;4795;338
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LUIZIANA;4113734;4113734;X;X
