Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;BALSA NOVA;4102307;4102307;132;13
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;81;8
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;2749;275
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;CAMPO MAGRO;4104253;4104253;241;24
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;56;6
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;COLOMBO;4105805;4105805;74;8
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;CONTENDA;4106209;4106209;X;X
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;CURITIBA;4106902;4106902;3181;313
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;X;X
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;ITAPERUÇU;4111258;4111258;X;X
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;LAPA;4113205;4113205;X;X
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;68;6
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;PINHAIS;4119152;4119152;61;8
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;85;9
