Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 70 a 74 anos;16;16;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 70 a 74 anos;16;16;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 75 a 79 anos;17;17;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 80 a 84 anos;18;18;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 85 a 89 anos;19;19;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;ADRIANÓPOLIS;4100202;4100202;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;CAMPO LARGO;4104204;4104204;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;COLOMBO;4105805;4105805;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;CURITIBA;4106902;4106902;961;103
